model,mAP50,mAP50_95,precision,recall,severity_acc,severity_mae,AP50_healthy,AP50_spot,AP50_curl,AP50_slug
yolo11n,0.8373661394089398,0.7276144435575174,0.8572888594948305,0.8051333461851151,N/A,N/A,0.995,0.8219166602034194,0.5549233716475096,0.9776245257848297
yolo11s,0.8335003172132639,0.7449196324485673,0.8876563216948963,0.8223856209150326,N/A,N/A,0.995,0.8660935675817366,0.495,0.977907701271319
yolov8n,0.8177116661178447,0.7075550845802183,0.8035580296430436,0.8387637973736658,N/A,N/A,0.995,0.7922088969994232,0.5176666666666667,0.9659711008052889
YOLOv11n + severity,0.8373661394089398,0.7276144435575174,0.8572888594948305,0.8051333461851151,0.5439,0.4797,0.995,0.8219166602034194,0.5549233716475096,0.9776245257848297
YOLOv11n + severity,0.8373661394089398,0.7276144435575174,0.8572888594948305,0.8051333461851151,0.4966,0.5203,0.995,0.8219166602034194,0.5549233716475096,0.9776245257848297
YOLOv11n + severity,0.8373661394089398,0.7276144435575174,0.8572888594948305,0.8051333461851151,0.5912,0.4257,0.995,0.8219166602034194,0.5549233716475096,0.9776245257848297
