epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21649.8,0.63653,0.58212,1.05505,0.90874,0.73696,0.82781,0.71574,0.4041,0.43817,0.90956,0.005842,0.005842,0.005842
44,22148.4,0.64582,0.59242,1.06135,0.89188,0.91468,0.91654,0.77747,0.40642,0.40888,0.90404,0.005743,0.005743,0.005743
45,22651.6,0.63036,0.57269,1.05514,0.84403,0.86517,0.88854,0.74511,0.4027,0.43662,0.89804,0.005644,0.005644,0.005644
46,23152.4,0.62937,0.56695,1.0528,0.87815,0.89986,0.90171,0.75213,0.42198,0.42415,0.90275,0.005545,0.005545,0.005545
47,23653.4,0.63173,0.57146,1.05348,0.8587,0.78323,0.88312,0.73133,0.4422,0.43184,0.91991,0.005446,0.005446,0.005446
48,24153.9,0.62712,0.56696,1.04793,0.86989,0.81963,0.8689,0.74988,0.3841,0.39228,0.89496,0.005347,0.005347,0.005347
49,24658.7,0.63259,0.57974,1.05974,0.89998,0.85106,0.85742,0.73731,0.43051,0.39205,0.91249,0.005248,0.005248,0.005248
50,25159.3,0.6167,0.55553,1.05001,0.90026,0.81358,0.86731,0.72856,0.40756,0.41032,0.90787,0.005149,0.005149,0.005149
51,25685.3,0.60073,0.53198,1.03632,0.86313,0.83546,0.81458,0.69918,0.39222,0.45073,0.90134,0.00505,0.00505,0.00505
52,26185.1,0.6049,0.53942,1.04013,0.80628,0.86081,0.86737,0.7411,0.3892,0.41698,0.90431,0.004951,0.004951,0.004951
53,26684.3,0.60759,0.55169,1.04461,0.86409,0.88538,0.86252,0.72305,0.43259,0.40937,0.92229,0.004852,0.004852,0.004852
54,27182.5,0.59774,0.52691,1.03413,0.8906,0.87983,0.89972,0.74377,0.37923,0.42184,0.89272,0.004753,0.004753,0.004753
55,27678.8,0.59481,0.53501,1.03521,0.87808,0.87756,0.89624,0.75294,0.37684,0.40278,0.89179,0.004654,0.004654,0.004654
56,28184.1,0.61325,0.5538,1.04955,0.85269,0.90129,0.89159,0.75672,0.37914,0.40822,0.89135,0.004555,0.004555,0.004555
57,28688.6,0.5977,0.53648,1.04254,0.7975,0.88813,0.86228,0.7371,0.38647,0.39504,0.89828,0.004456,0.004456,0.004456
58,29191.8,0.61275,0.53675,1.04904,0.80284,0.81404,0.86174,0.71828,0.38701,0.40706,0.90524,0.004357,0.004357,0.004357
59,29693.6,0.59359,0.52763,1.03777,0.84363,0.86269,0.89052,0.75717,0.36198,0.39353,0.88117,0.004258,0.004258,0.004258
